TreeID,qSpecies,qAddress,qSiteInfo,DBH,PlotSize,Latitude,Longitude
8810,Callistemon citrinus :: Lemon Bottlebrush,3800 Geary Blvd,Median : Cutout,12,M6,37.78128547,-122.4599799
22640,Melaleuca quinquenervia :: Cajeput,1224 Turk St,Sidewalk: Curb side : Cutout,6,3X3,37.78128085,-122.4296978
5925,Pyrus kawakamii :: Evergreen Pear,1335 Eddy St,Sidewalk: Curb side : Cutout,7,4X4,37.78128085,-122.4296978
22638,Acacia melanoxylon :: Blackwood Acacia,1200X Turk St,Sidewalk: Curb side : Cutout,6,3X3,37.78128085,-122.4296978
13896,Platanus x hispanica :: Sycamore: London Plane,1053 Market St,Sidewalk: Curb side : Cutout,25,4X4,37.78127922,-122.4113109
19534,Tristaniopsis laurina :: Swamp Myrtle,200X Saint Joseph's Ave,Sidewalk: Curb side : Cutout,12,4x4,37.78127761,-122.4412604
85670,Acer rubrum 'Red Sunset' :: Red Swamp Maple,501X Bryant St,Sidewalk: Curb side : Cutout,3,3x3,37.78126958,-122.3958107
116071,Prunus spp :: Cherry,4150X CLEMENT ST,Front Yard : Yard,8,3x3,37.78126246,-122.502082
23796,Ficus nitida :: Laurel Fig,1133 Webster St,Sidewalk: Curb side : Cutout,25,3X3,37.78125808,-122.4306778
19535,Tristaniopsis laurina :: Swamp Myrtle,201X Saint Joseph's Ave,Sidewalk: Curb side : Cutout,12,4x4,37.78125602,-122.4414312
8802,Metrosideros excelsa :: New Zealand Xmas Tree,3700 Geary Blvd,Median : Cutout,12,M6,37.7812547,-122.4591542
28067,Ficus retusa nitida :: Banyan Fig,3445 Geary Blvd,Sidewalk: Curb side : Cutout,3,3X3,37.78125122,-122.456007
5987,Corymbia ficifolia :: Red Flowering Gum,1640 Eddy St,Sidewalk: Curb side : Cutout,24,5x6,37.78124122,-122.43467
8845,Metrosideros excelsa :: New Zealand Xmas Tree,4050 Geary Blvd,Sidewalk: Curb side : Cutout,3,3X3,37.78122492,-122.4629564
112172,Washingtonia robusta :: Mexican Fan Palm,998X MISSION ST,Sidewalk: Curb side : Cutout,,3x3,37.78121391,-122.4087861
8854,Tristaniopsis laurina :: Swamp Myrtle,4100 Geary Blvd,Sidewalk: Curb side : Cutout,3,3X3,37.78121079,-122.4634132
9441,Platanus x hispanica :: Sycamore: London Plane,850X Gough St,Sidewalk: Curb side : Cutout,40,3X3,37.78119957,-122.4237623
6375,Ficus nitida :: Laurel Fig,309X Elm St,Sidewalk: Curb side : Cutout,18,4X4,37.78119624,-122.4223485
8789,Metrosideros excelsa :: New Zealand Xmas Tree,3565 Geary Blvd,Sidewalk: Curb side : Cutout,12,3X3,37.78119023,-122.4573671
251637,Corymbia ficifolia :: Red Flowering Gum,1640 Eddy St,Sidewalk: Curb side : Cutout,,3x3,37.78118638,-122.4346638
8832,Callistemon citrinus :: Lemon Bottlebrush,4000 Geary Blvd,Median : Cutout,12,M6,37.78118309,-122.4621198
7816,Platanus x hispanica :: Sycamore: London Plane,725X Franklin St,Sidewalk: Curb side : Cutout,12,4X4,37.78117339,-122.4222502
56949,Washingtonia robusta :: Mexican Fan Palm,87 06th St,Sidewalk: Curb side : Cutout,16,,37.78116989,-122.4087916
13898,Platanus x hispanica :: Sycamore: London Plane,1055 Market St,Sidewalk: Curb side : Cutout,35,4X4,37.78116971,-122.4114575
16705,Platanus x hispanica :: Sycamore: London Plane,1025X O'Farrell St,Sidewalk: Curb side : Cutout,12,4X4,37.78116416,-122.4462533
17711,Ligustrum lucidum :: Glossy Privet,1214 Pierce St,Sidewalk: Curb side : Cutout,15,3X3,37.78116288,-122.4355713
16725,Platanus x hispanica :: Sycamore: London Plane,1085X O'Farrell St,Sidewalk: Curb side : Cutout,12,4X4,37.78115826,-122.4462988
85743,Ulmus parvifolia :: Chinese Elm,850 Folsom St,Sidewalk: Curb side : Cutout,3,3x3,37.78115537,-122.4024231
22627,Tristaniopsis laurina :: Swamp Myrtle,1136 Turk St,Sidewalk: Curb side : Cutout,6,3X3,37.78115505,-122.4278445
5261,Schinus terebinthifolius :: Brazilian Pepper,1234 Divisadero St,Sidewalk: Curb side : Cutout,12,4X4,37.78115356,-122.4388565
90504,Pyrus calleryana :: Ornamental Pear,441 25th Ave,Sidewalk: Curb side : Cutout,3,3x3,37.78115232,-122.4849119
22625,Acacia melanoxylon :: Blackwood Acacia,1110 Turk St,Sidewalk: Curb side : Cutout,18,3X3,37.78114778,-122.4274644
6371,Acer spp :: Maple,2101 Ellis St,Sidewalk: Curb side : Cutout,6,3X3,37.78114748,-122.4410412
13920,Platanus x hispanica :: Sycamore: London Plane,1080 Market St,Sidewalk: Curb side : Cutout,12,4X4,37.78113434,-122.4118768
85688,Acer buergeranum :: Trident Maple,510 Bryant St,Sidewalk: Curb side : Cutout,3,3x3,37.78113256,-122.3962327
29135,Lophostemon confertus :: Brisbane Box,60 Leavenworth St,Sidewalk: Curb side : Cutout,8,3x30,37.78111898,-122.4136276
141859,Acacia melanoxylon :: Blackwood Acacia,1126 TURK ST,Sidewalk: Curb side : Cutout,17,Width 0ft,37.78111815,-122.4277892
16728,Ficus nitida :: Laurel Fig,1519 O'Farrell St,Sidewalk: Curb side : Cutout,6,4X4,37.78111553,-122.4466278
16733,Tristaniopsis laurina :: Swamp Myrtle,1523 O'Farrell St,Sidewalk: Curb side : Cutout,6,4X4,37.78111529,-122.4466297
13903,Platanus x hispanica :: Sycamore: London Plane,1061 Market St,Sidewalk: Curb side : Cutout,35,4X4,37.78111376,-122.4115252
85699,Magnolia grandiflora :: Southern Magnolia,918 Howard St,Sidewalk: Curb side : Cutout,3,3x3,37.78110946,-122.405591
